replication,scenario,liters,operation_h,pause_h,monitored_h,efficiency
46,baseline,204434.29478764508,103.28004083333332,140.63428916666655,243.9143299999999,0.42342752405458656
46,s1_5s_visual,208459.8892421635,105.22903449234937,138.6852955076505,243.9143299999999,0.4314180084964644
46,s2_tpm,251142.77042458684,125.38118815881305,118.53314184118683,243.9143299999999,0.5140378105657551
46,s3_integrated,274862.1208532398,136.41561883126667,107.49871116873314,243.9143299999999,0.5592767707877874
47,baseline,202614.930889164,99.93921111111102,121.56714333333329,221.5063544444442,0.45117988313141905
47,s1_5s_visual,206691.51463610007,101.67257962557048,119.83377481887383,221.5063544444442,0.4590052501228396
47,s2_tpm,237662.9932477871,116.91794635231008,104.58840809213423,221.5063544444442,0.5278311163828673
47,s3_integrated,257617.46163493957,126.1043287679969,95.40202567644737,221.5063544444442,0.5693034363924986
48,baseline,225123.6237428204,105.29119944444437,152.25390388888883,257.54510333333315,0.40882625249593285
48,s1_5s_visual,231090.94660875233,107.65916367723892,149.88593965609425,257.54510333333315,0.4180206196267641
48,s2_tpm,271776.6008787047,126.76240817868539,130.7826951546478,257.54510333333315,0.49219498463778005
48,s3_integrated,298701.7503931895,138.3083007734093,119.2368025599239,257.54510333333315,0.5370255500233715
49,baseline,194824.74470397754,93.67739666666658,138.6097655555555,232.28716222222215,0.4032827116681043
49,s1_5s_visual,199445.90033440813,95.68558517896227,136.60157704325982,232.28716222222215,0.41192799577715256
49,s2_tpm,240225.9815624485,114.72215726922272,117.56500495299935,232.28716222222215,0.49388074731168946
49,s3_integrated,263669.01101996464,125.27442920258272,107.01273301963924,232.28716222222215,0.5393084490943001
50,baseline,199531.47434719768,97.48102749999993,121.3899941666666,218.87102166666642,0.4453811507695177
50,s1_5s_visual,203992.0578102011,99.31794946817442,119.55307219849206,218.87102166666642,0.45377386513703255
50,s2_tpm,232917.0017310528,113.72109554431624,105.14992612235028,218.87102166666642,0.5195804116888065
50,s3_integrated,254127.89317179972,123.11148921527584,95.75953245139067,218.87102166666642,0.5624841894454657
51,baseline,219859.28453754296,102.02941111111109,141.33289166666654,243.36230277777756,0.419249037120912
51,s1_5s_visual,225215.90110029734,104.36873993032552,138.99356284745213,243.36230277777756,0.42886157280336135
51,s2_tpm,267993.3044811024,122.81213927212822,120.5501635056494,243.36230277777756,0.5046473421328207
51,s3_integrated,294088.8589478353,134.17626343171173,109.18603934606584,243.36230277777756,0.5513436629264339
52,baseline,218731.30919758644,105.10677111111104,156.6178430555555,261.7246141666665,0.40159299287066264
52,s1_5s_visual,223815.9094003786,107.31717229747986,154.40744186918664,261.7246141666665,0.4100385156328482
52,s2_tpm,265049.25225077017,127.09030126324916,134.63431290341734,261.7246141666665,0.48558788277482345
52,s3_integrated,291972.04991563864,138.79477050343118,122.9298436632352,261.7246141666665,0.5303084348614094
53,baseline,182303.23392529285,95.0321686111111,116.58895361111098,211.62112222222203,0.44906750145346275
53,s1_5s_visual,185243.79611194835,96.41241983769207,115.20870238453006,211.62112222222203,0.45558977679198764
53,s2_tpm,218180.8781760089,112.88001279289463,98.74110942932742,211.62112222222203,0.5334061723496581
53,s3_integrated,236668.93377316024,121.88322165897478,89.73790056324731,211.62112222222203,0.5759501716042597
54,baseline,199008.6775414685,98.38639777777769,138.4974386111111,236.88383638888877,0.41533605364385506
54,s1_5s_visual,203659.82095896263,100.4256998496251,136.45813653926373,236.88383638888877,0.4239449233030728
54,s2_tpm,232132.8576661953,115.81017122059478,121.07366516829387,236.88383638888877,0.48889013698035055
54,s3_integrated,253556.29765085253,125.64243569940425,111.2414006894845,236.88383638888877,0.5303968291578108
55,baseline,205340.39873438107,97.04189499999987,137.94860277777772,234.99049777777756,0.41296093211296164
55,s1_5s_visual,209938.06103467464,98.93348263151876,136.05701514625883,234.99049777777756,0.421010566670133
55,s2_tpm,246386.40512689546,115.73956434969847,119.25093342807916,234.99049777777756,0.4925286998589594
55,s3_integrated,271043.49003897666,126.26614989391513,108.72434788386245,234.99049777777756,0.5373244922155137
56,baseline,202217.1635940168,98.97478194444429,145.2277580555555,244.20253999999977,0.4052979217351481
56,s1_5s_visual,207157.31021492352,101.20447341691757,142.99806658308225,244.20253999999977,0.4144284224763496
56,s2_tpm,243165.00993610139,119.26334031329367,124.93919968670612,244.20253999999977,0.48837878718744604
56,s3_integrated,266237.17627228453,130.13454360680942,114.06799639319031,244.20253999999977,0.5328959461552265
57,baseline,182839.31969796616,90.55294027777772,123.1921519444443,213.74509222222207,0.42364921381976584
57,s1_5s_visual,186424.19428275156,92.10237056425274,121.64272165796936,213.74509222222207,0.4308981769204677
57,s2_tpm,219607.17524417874,109.13619403876814,104.60889818345395,213.74509222222207,0.5105904089030671
